	ID	Comment
0	  네진쓰	"직캠보면 무대 시작부터 끝까지 진짜 표정관리 철저하더라,, 매번 비슷한 표정인건 맞는데 노력이 대단한듯"
1	  zoey	뭐냐 난줄
2	  °inyoungº	 @zoey  ㅋㅋㅋㅋㅋㅋㅋㅋ
3	  기쁜데 .슬프다	ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아
4	  네진쓰	 @박지훈  이게 뭔? 진짜 어이가 없네 내가 니보다 원영이 직캠 더 많이보고 좋아해; 표정이 비슷해도 난 그 표정 좋아함
5	  가담 담	 @박지훈  진짜 저급하다ㅋㅋㅋ
6	  네진쓰	 @허소연  외요 ㅠ
7	  쿠크다스	인정 원영이가 표정관리하기 벅차서 노래 안부르는듯ㅋㅋ앵콜에서는 잘부르더라
8	  맛있는 우유GT	오늘 갸륵하다는 뜻의 의미가 확 와닿네뭔가 이쁜 표정 인가라는 의문을 유발하는 동시에 킹받고 뭔가 엥? 하는 느낌과 느끼한 눈빛 한줌과 애매한 입고리와 볼의 경직의 완벽한 조화의 산물 ㅋㅋㅋ
9	  Go To	저 게슴츠레 뜨는 눈이 ㅈ같음눈 일부러 천천히 감았다뜨면서 입술 두꺼운거 강조하는 저 맨날 똑같은 표정도
10	  김민주	 @Go To  진짜그냥 다떠나서 저표정이 너무싫음 ..
11	  20x20	왜그럼 ? 예쁜데 ;
12	  성이름	 @20x20  예쁜건맞음... 다만 갸륵할뿐
13	  이라	원영님 얼굴도 이쁘고 갸륵한 표정도 많이 연습해서 얻은 거겠지라는 생각은 드는데 사람들이 거북해하는 요소 중에 하나는 아마 그런 거 아닐까 싶음.원영님은 뭔가 오밀조밀하고 사랑스럽게 예쁘다고 생각함. 타고난 분위기도 워낙 그쪽에 가깝고.많은 분들이 언급하시는 것처럼 프리지아님을 비교예시로 들어보면 지아님은 원영님에 비해서 확실히 좀 더 뇌쇄적인 분위기를 자연스럽게 갖고 있다는 걸 알 수 있음.그러니까 저런 류의 사람 홀리는 갸륵한 표정(?) 자체가 원영님한테는 잘 안 받는단 느낌임... 나중에 나이가 들고 어른스러운 분위기가 생기면 그땐 지금처럼 억지로 표정 안 지어도 원영님이 원하시는 느낌을 얻어갈 수 있을 거라 생각함.그러니까 일단은 원영님이 풋풋하게 예쁠 수 있는 지금 이때 그걸 더 잘 누리고 활용했으면 함... 그리고 이때다 싶어서 굳이 물어뜯는 피드백 가장한 비난들은 살포시 무시해주시고.
14	  혜린	"ㅇㅈ... 피드백을 가장한 인신공격, 악플들이 너무 많아요 ㅠ"
15	  k yn	정답!
16	  킴제임스	걍 ㅈ같다 하면되지 뭘 빙빙 돌려말하노?
17	  Sun	 @킴제임스  ㅈ같다 하면 그게 피드백이냐?
18	  NN Lee	 @킴제임스  우리 게이는 글을 못 읽노 ㅋㅋㅋ
19	  시장에서 일본도를 훔친 할배	지가 하는게 지금 피드백 가장한 열폭 ㅋㅋㅋㅋㅋㅋ
20	  정병철	프리지아님은 또 누군가 해서 찾아봤음. 아이돌 팬 아닌 일반인 입장에서 봤을때 그냥 장원영님이 훨씬 잘어울리는 느낌인데…아니 근데 프리지아 저분은 왜 장원영님이랑 엮이는 거임??
21	  *치킨은언제나옳다	ㅇㅈ 아니 가만히있어도 겁나이쁜애가 부담스럽단소리가 나오니 이게뭔지싶은거지.. 소속사에서 이렇게 컨셉잡으라 시킨건가 별 생각이 다들었음그냥 쌩얼자체도 이뻐서 정채연느낌처럼 호불호없는 상큼청순 이미지인데 화장도 점점과해지고 표정도과해지는게 왜그런건가싶음
22	  미마몀	갸륵이 문제인게 아니라 모든 곡에서 갸륵한 표정만 지으니까 계속 말이 나오는거임
23	  발광머리앤	아이브 컨셉이 나르시시즘인거 같은데 그래서 그런거 같아요
24	  유리멘탈	ㅋㅋㅋㅋㅋ 아니 눈 찡긋이 ㅈㄴ 킹받긴 하네 ㅋㅋㅋㅋㅋㅋ 난 그냥 웃기다
25	  자몽이와 체리 뇽뇽	재채기 하기 1초전 표정
26	  블링크	 @자몽이와 체리 뇽뇽  ㅋㅋㅋㅋㅋㅋ
27	  수란	장원영이 프리지아따라한다는게 뭔가했는데  솔로지옥?에서 프리지아 등장씬보고 바로이해했음ㅋㅋㅋㅋ 분위기가 너무비슷하고 프리지아 자체의 분위기를 따라하려다보니 저런..갸륵이 되어버린듯
28	  ᄋᄋ	근데 정확히 뭘 따라한다는거에요? 어느 부분을 따라한다는건지 말도 못하면서 다들 따라한다고 말하는게 웃겨서요ㅎ ㅎ 닮았으면 닮은거지 따라하는건 전혀 아닌 것 같은데요
29	  빙봉	 @ᄋᄋ  특유 나른한 눈빛
30	  소현	 @ᄋᄋ  인스타 게시물 따라하던데
31	  ᄋᄋ	 @ᄋᄋ  걍 장원영이 프리지아 만나기 전이랑 후랑 분위기부터 얼굴까지 다바뀜
32	  ᄋᄋ	 @소현  인스타 피드 정말 좃도 안비슷한데요 ㅠㅠ ; 정확히 짚어보라고요
33	  성이름	 @ᄋᄋ  눈 풀리는 표정? 말하는거 아닌가 생각듬
34	  ᄋᄋ	앙 이제 아니쥬
35	  쩡우	 @소현 그  게시물 장원영이 먼저 올린게 팩트 ㅋㅋ
36	  Clfm	나도 나이가들었는지 이런거보면 너무귀엽고 ...사람들이 뭘말하는지는 알겠는데 ..원영이 진짜 얼굴독보적이라 예뻐서 다잊게됨 ..ㅠ
37	  뇽이	과유불급.. 옛말 틀린게 없다
38	  팔도비빔면	너한테는 과유불급이겠지 왜냐면 니 마음의 질투 하는 마음이 과유불급이니깐
39	  맹꽁이	 @팔도비빔면  ㅇㅈㅋㅋㅋㅋㅋㅋㅋ표정 다양하게 하는거보면 예쁘기만 하구만 이걸 ㅈㄹ하는건 지들이 질투나서 아니꼬운거지
40	  안방마님	ㅋㅋㄱㄱㅋㄱ 서서 지 발가락도 안보이는 언냐들 화많이났네ㅋㅋㄱㄲ
41	  꼬똥이	 @팔도비빔면  아쒸 얘네 팬은 왜 자꾸 팩트로 내려꽂으면 질투한다고 그러니
42	  shhhhhh	" @꼬똥이  ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋ 장원영 안 이쁘다는 사람 아무도 없고, 표정이 에바라는 거자너..... 빠순이들만 저런 표정 좋아하지 일반인들이 보기에는 괴리감 드는 게 팩트임ㅠㅠㅋㅋㅋㅋ....."
43	  빙봉	 @shhhhhh  걍 쟤네들은 장원영 얘기만 나오면 다 까는줄 앎.. 누가 장원영이 별로라냐.. 장원영 예쁜거 세상사람들이 다 아는데 더 예쁠 수 있는데 호불호 있는 표정에 꽂혀서 그것만 주구장창 추구하고 있으니깐 바꿔달라는거지 아주 아이돌이 신이지..
44	  최다니	 @팔도비빔면  근데 진짜 장원영 팬들은 팩트도 쉴드치고 뭐도 쉴드치고 되지도 않는 쉴드 오지게 치는듯
45	  유냐	 @꼬똥이  그니깤ㅋㅋㅋ찔렸는지 억까라고는 말안하네ㅋㅋ팩트라고 빠순이들아ㅠㅠ인정은 하고 덕질하자 응?
46	  김충무김밥	쉴드 치는 애들 특징이 질투 하네 ㅇㅈㄹ하는걸로 밖에 쉴드 못침 ㅋㅋ
47	  오옴	질투 맞지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 애초에 관심도 없으면 그냥 무시함
48	  sunnyday 365	"원영이 아직 어려,, 프듀48때 부터 팬이었는고 원영이가 물론 아직까지도 고쳐나가야 할 부분이있겠지만 처음과 지금을 비교 해보면 여러면에서 좋아지고 있음.자기만의 스타일을 찾아내기에는 아직 어리고 시간도 충분치 않았음"
49	  이수만	뭐가어려요.. 이제 고3인데 지금 비슷한 장원영 나이대에 아이돌도 다 프로아이돌처럼 잘하는구만...
