	id	document	emotion
0	  희진	딴 멤들은 떨려서 음정이 흔들려서 그런거라고 하자.근데 윈터는 진짜 미쳤다..무제 체질인데 노래도 제일 잘하지 춤도 가장 눈에 보이는 것 같음..고음 파트 제일 많은 것 같은데 확실히 잘하네 올라운더+9:55 고음 실화ㅋㅋㅋㅋㅋㅋ	1
1	  Foo Foo	윈터도 와 잘한다~ 까진 아닌데 나머지보다 비교적 훨씬 나앗고 발전할꺼같은데 닝닝 지젤은 좀 심각한데	0
2	  sik seek	흔들리는게아니라 걍 못함	0
3	  THE KIKS	떨려서 흔들린단다 ㅋㅋㅋㅋㅋㅋㅋ	0
4	  ᄋᄋ	떨린다기보다 닝닝은 그냥 성대가 약해서 한곡 부르면 목이 나가는데 그것도 고음이 많다보니 쩔수없는듯… 지젤 카리나는 에스파 노래 자체가 저음랩이 많고 근데 그걸 야외에서 숨찬상태로 하면 목소리가 나올수가 없음 블랙맘바 처음부분만 보면 엄청 안정적이고 다 잘함 근데 닝닝은 후반만 가도목 떨리고 성대 나간게 보임 카리나 지젤은 숨차기 시작하면서 이상해지고	0
5	  이승기	저런 고음보고 실화라노ㅋㅋㅋㅋ	0
6	  Park	"윈터가 엄창 돋보이긴 한다.소리도 깔끔하고, 음정도 안정되어있고, 성량도 꽉차있네~윈터가 메인보컬해야 하는거 같은뎅. ㅋㅋㅋ"	1
7	  테리 보가드	"윈터는 진짜 물건이다.앞으로 더 잘되고, 더 성장해서, 더 날아오르자.라이브 진짜 멋지네!"	1
8	  han jobda	한 명의 아티스트와 한 명의 이쁜 댄서와 두 명의 통역가 느낌	0
9	  석진	데뷔한지 2년이 지났어도 신인이면 신인 기준이 언제까지인겨 ㅋㅋㅋ	0
10	  frlemd	얘네 생라이브 처음이자나;; 코로나 없을때 2년이랑 지금 2년이랑 같나	1
11	  또잉	 @frlemd  그니까 그런 생라이브를 아예 안했으니 이 모냥이지ㅋㅋ코로나 핑계 대지 마라 맨날 ar 깔아놓고 시간은 충분했다	0
12	  Joseejupiter	 @frlemd  스테이씨나 엔믹스 라이브 들어보세요 확실히 실력차이가 나긴해요	0
13	  옹느	 @frlemd  그냥 못한건 깔끔하게 못한거라 해..  구차하게 이런저런 변명 붙이지 말고	0
14	  소예소예	 @frlemd  신인이여도 딴 그룹은 음방에서도 립싱크말고 라이브하는데요 님 논리대로 생라이브가 처음이면 이때까지 음방에선 mr 깔고 립싱크 했다는거 인정하는 꼴인데요? 애초에 2년동안 음방하면서 라이브 했다면 이정도는 아니죠	0
15	  민초	윈터가 랩을 제일 잘하네 춤도 대충 추는것처럼 보이는데 디테일 다 살아있네 진짜 노력파인듯	1
16	  상남자내꺼	겨울이 저 체구에서 어떻게 저런 성량이 나오지..ㄷㄷ 미쳐따 역시 겨울이	1
17	  ㅇㅇ	라이브도 라이브지만 불안해 보이는 눈빛과 자신감 없는 동작들이 너무 눈에 띄네요.저런 페스티벌이나 콘서트 무대의 매력이 전혀 안보였어요.국내 음악방송에서 했던거 그대로 안틀리고 하는데 목표를 둔게 아니었나 싶어요.	0
18	  쵸비	아니 사람들 블핑이랑 자꾸 비교질하는데 말이안됌 진짜 개신인임 이정도면.. 잘한거지..	1
19	  JJHBB	아직 신인이잖아요 심지어 코로나땜에 관객있는 무대나 라이브 무대는 거의 서본적도 없을텐데...	1
20	  곱선생	" @JJHBB  음...? 블핑도 코첼라 때는 연차 비슷했고, 나이대도 비슷했어요"	1
21	  곱선생	" @쵸비   블핑도 코첼라 때는 연차 비슷했고, 나이대도 비슷했다고... 그리고 먼저 스엠이 언플 때림서 블핑 머리채잡으니까 빡친거지"	0
22	  Emily Kim	에스파! 화이팅!!조금더 실력을 쌓아서 더 좋은 모습을 보여주었으면 좋겠습니다!! 고생 많았어요!!ㅠ	1
23	  0w0	나머지는 모르겠는데 윈터는 진짜 잘한다	1
24	  김우재	윈터인정 윈터음역대 진짜 개높은데 음색음정 진짜 완벽함	1
25	  황태진	모르는거 맞니..	1
26	  에드워드케인	무대 ㅈ창났다고 해서 보러왔는데 ㄹㅇ 윈터는 대박이다	1
27	  아라 조	다른 맴버들도. 너무잘했어ㅛㅇ	1
28	  콩쥐	윈터 미쳤다 진짜 잘하네	1
29	  댕맘뭄	윈터 진짜 실력파네 	1
30	  낑뀨룩	윈터는 진짜 잘한다 무슨 목소리가 저렇게 탄탄하냐	1
31	  결격사유	랩하는애 한명빼고 나머진 잘하는데?.. 윈터도 괜찮고 중국인메인보컬? 이분도 잘하는데.. 왜 욕먹는지 이해가 안가네	1
32	  소울맘	그쵸 지젤이 망침 오히려 다른애들을 흔들어놓음	0
33	  먐먐	다시 말하는 거지만 SM여돌 중 그룹에서 랩을 제대로 했던 건 엠버 한 명이다.	1
